UDC_PRODUCT_GROUP,Feb,Mar,Apr,May,Grand Total
MGP,22.999521,507.234597,13934.63021,19192.81922,33657.68355
NOFP,1194.899314,8425.969382,9357.95048,13702.10211,32680.92128
LRPC,,10843.51659,9759.167693,9896.769181,30499.45346
PPGI,317.91826,10417.29847,7941.134538,10051.66843,28728.0197
WR - AL,,9081.221756,7280.414744,9135.098633,25496.73513
SMS_BYPRODUCT,1507.871134,7271.883565,7028.472209,7483.987392,23292.2143
HRGI,239.218752,6516.154579,5602.268467,7369.314411,19726.95621
RCS,1102.297228,7064.351613,6483.336812,4920.597642,19570.5833
ZM,59.30963,3161.495196,7281.710814,8010.526973,18513.04261
CRFH_SCRAP,664.258584,4416.998508,3995.361583,4306.185027,13382.8037
LPF,2215.53952,2439.007316,2812.353773,3561.898003,11028.79861
CRCA_SCRAP,173.0987,2594.670577,2952.073899,2301.316808,8021.159984
CRCA_DIVERSION,190.153796,2680.417896,2680.45762,1843.981916,7395.011228
HRPO_DIVERSION,36.43109,2486.651872,2426.56457,2024.341334,6973.988866
HTWRC,279.180485,1756.393598,2315.477758,1641.384507,5992.436348
HRPO_SCRAP,299.230403,1992.329736,1531.529715,1652.062659,5475.152513
TMT-CF,1451.691406,,133.990002,3528,5113.681408
CRFH_DIVERSION,255.29395,1695.706651,1502.93533,1648.278239,5102.21417
CRFH_SECOND,201.729109,1438.512692,1299.2076,1409.950529,4349.39993
HR_TRIMMING,218.458993,1418.944441,1222.295298,1367.725446,4227.424178
GA_DIVERSION,290.443969,1421.595213,1446.303696,564.794924,3723.137802
HRPO_SECOND,5.779212,1408.410568,1239.129531,985.535203,3638.854514
GL_SECOND,228.233109,1214.631963,1090.706453,1077.305519,3610.877044
GI_SECOND,221.833366,1154.2592,987.555191,1147.147651,3510.795408
GI_SCRAP,236.632424,1109.794709,848.51972,1203.226923,3398.173776
GLP,54.16786,2054.480895,916.183411,256.908905,3281.741071
GI_DIVERSION,106.354958,804.291153,900.980511,1015.402261,2827.028883
TIN_DIVERSION,68.08551,949.318511,914.666671,834.706123,2766.776815
CRCA_SECOND,90.027212,779.102936,929.126879,719.220149,2517.477176
GL_DIVERSION,120.431863,685.013304,603.947553,583.834643,1993.227363
TIN_SECOND,33.011261,570.846109,547.17088,518.34381,1669.37206
GL_SCRAP,101.478857,549.535751,472.830647,471.166932,1595.012187
PICKLING_LOSS,93.426648,542.680113,411.914362,533.535795,1581.556918
HTPRB_BRM,,699.680562,574.894943,193.780094,1468.355599
TFS,150,557.907471,299.970001,357.5,1365.377472
PPGL_SECOND,51.504204,419.930673,392.450285,335.410159,1199.295321
NOSP_SCRAP,122.034195,322.992935,390.925384,322.086192,1158.038706
HR_DIVERSION,63.632263,428.855806,288.534023,358.524206,1139.546298
GA_SCRAP,38.845687,323.469032,397.862021,257.316075,1017.492815
PPGL_SCRAP,38.714805,359.895462,347.365344,264.911929,1010.88754
PPGL_DIVERSION,47.328843,340.603462,331.798773,241.547758,961.278836
GBAL,6.715353,832.544815,85.02536,,924.285528
HR_SECOND,50.339314,342.536609,223.778799,285.769095,902.423817
NOFP_SECOND,6.341426,179.55847,196.375104,363.655124,745.930124
NOFP_SCRAP,39.210396,191.446162,208.855422,295.994745,735.506725
HTLPF,,89.738049,65.26403,413.083053,568.085132
TMBP_SCRAP,1.473057,158.572456,146.596464,164.017303,470.65928
TIN_SCRAP,8.463786,146.815619,142.181209,132.94949,430.410104
GA_SECOND,38.693209,153.72901,158.022216,64.132638,414.577073
ZM_SECOND,6.628723,91.420966,184.576688,115.039717,397.666094
PPGI_DIVERSION,7.818334,148.143427,74.490448,126.646202,357.098411
BS,27.158346,135.791702,122.212532,30.64737,315.80995
ZM_DIVERSION,3.488802,55.667186,114.177107,78.032885,251.36598
PPGI_SECOND,2.602384,71.390546,44.929338,65.672368,184.594636
PPGI_SCRAP,3.56325,72.606317,41.069842,60.698191,177.9376
CRAN_SECOND,7.125202,56.197003,49.213196,49.781839,162.31724
CRAN_DIVERSION,7.125202,56.197003,49.213196,49.781839,162.31724
CRAN_SCRAP,7.125202,56.197003,49.213196,49.781839,162.31724
NOSP_DIVERSION,6.855799,47.026537,64.316664,35.637517,153.836517
NOSP_SECOND,3.718399,42.443962,59.552487,31.088621,136.803469
ZM_SCRAP,0.34888,16.714029,42.301325,56.490227,115.854461
TFS_DIVERSION,12.804878,46.698255,25.607195,21.196198,106.306526
TFS_SECOND,12.804878,46.698255,25.607195,21.196198,106.306526
HTPRB_BLM,94.148972,,,,94.148972
NOFP_DIVERSION,0.76635,19.296364,25.266233,47.589828,92.918775
HRGI_DIVERSION,1.162111,18.838177,22.495556,25.76577,68.261614
TMBP_DIVERSION,2.807328,23.108703,19.918352,22.016775,67.851158
