"LOC","RES","STARTDATE","OPTIONSET","DUR","AVAILCAP","RESCOST","CHGCOST","CPPCOSTRESUTIL","CPPCOSTSKUPROD","CPPLOADFIRMORDER","CPPLOADPLANORDER","CPPLOADSCHEDRCPT","CPPOVERCAP","CPPTOTCAP","CPPTOTLOADCHG","CPPTOTLOADPROD","CPPUNUSEDCAP","CBMPTOTLOAD","CBMPTOTLOADCUSTORD","CBMPTOTLOADFCSTORD","CBMPTOTLOADSSORD","CBMPTOTLOADUNCOMM","MPPOLOAD","MPFIRMPOLOAD","MPSCHEDRCPTLOAD","MPRECSHIPLOAD","MPFIRMRECSHIPLOAD","MPVEHLOADLINELOAD","MPINVENTORY","USERID","PROCESSDATE","PCTUSED","CPPTOTLOAD","MPTOTLOADCUSTORDER","MPTOTLOAD","MPTOTLOADSSORDER","MPTOTLOADFCSTORDER","MPTOTLOADUNCOMM","RESSOURCEEXCEPTION","RESCOUNTEXCEPTION","SIMULATION_NAME","WORKORDERLOAD","MPPLANARRIVLOAD","PLANNEDSUPPLYORDERLOAD","MPFIRMPLANARRIVLOAD","TOTLOAD","MPCHANGEOVERLOAD","REQUIREMENTPLANAVAILCAP","DISTREQUIREMENTLOAD","FIRMARRIVALREQUIREMENTLOAD","FIRMPLANORDERREQUIREMENTLOAD","PRODREQUIREMENTLOAD","SCHEDRCPTSREQUIREMENTLOAD","TOTALREQUIREMENTLOAD","VEHICLELOADLINEREQUIREMENTLOAD","MPOVERTIMECAP","MPREGULARCAP","MPOVERTIMELOAD","MPREGULARLOAD","OVERTIMEAVAILCAP","MINUTILIZATION","MAXUTILIZATION","IDEALUTILIZATION","STORAGELOAD"
"1002","SCCM1","01-MAR-25","SNOP_BATCH_STORE_RES_PROJ","10080","105.92880099999999","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","36.947142261904766","0","0","62.07119900000001","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","62.07119900000001","0","7","0","0","0"
"1002","SCCM1","08-MAR-25","SNOP_BATCH_STORE_RES_PROJ","10080","105.928798","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","36.94714404761905","0","0","62.071202","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","62.071202","0","7","0","0","0"
"1002","SCCM1","15-MAR-25","SNOP_BATCH_STORE_RES_PROJ","10080","105.928808","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","36.94713809523809","0","0","62.071191999999996","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","62.071191999999996","0","7","0","0","0"
"1002","SCCM1","22-MAR-25","SNOP_BATCH_STORE_RES_PROJ","14400","151.326863","0","0","0","0","0","0","0","0","240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","36.94714041666666","0","0","88.673137","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","0","88.673137","0","10","0","0","0"
"1002","SCCM1","01-APR-25","SNOP_BATCH_STORE_RES_PROJ","10080","107.627816","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","35.93582380952382","0","0","60.372184000000004","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","60.372184000000004","0","7","0","0","0"
"1002","SCCM1","08-APR-25","SNOP_BATCH_STORE_RES_PROJ","10080","140.95201400000002","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","16.099991666666654","0","0","27.04798599999998","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","27.04798599999998","0","7","0","0","0"
"1002","SCCM1","15-APR-25","SNOP_BATCH_STORE_RES_PROJ","10080","107.62784099999999","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","35.93580892857143","0","0","60.37215900000001","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","60.37215900000001","0","7","0","0","0"
"1002","SCCM1","22-APR-25","SNOP_BATCH_STORE_RES_PROJ","12960","138.378627","0","0","0","0","0","0","0","0","216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","35.93582083333334","0","0","77.621373","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","216","0","77.621373","0","9","0","0","0"
"1002","SCCM1","01-MAY-25","SNOP_BATCH_STORE_RES_PROJ","10080","98.564074","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","41.33090833333333","0","0","69.435926","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","69.435926","0","7","0","0","0"
"1002","SCCM1","08-MAY-25","SNOP_BATCH_STORE_RES_PROJ","10080","98.564075","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","41.330907738095235","0","0","69.435925","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","69.435925","0","7","0","0","0"
"1002","SCCM1","15-MAY-25","SNOP_BATCH_STORE_RES_PROJ","10080","98.564076","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","41.33090714285714","0","0","69.435924","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","69.435924","0","7","0","0","0"
"1002","SCCM1","22-MAY-25","SNOP_BATCH_STORE_RES_PROJ","14400","140.80581300000006","0","0","0","0","0","0","0","0","240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","41.33091124999997","0","0","99.19418699999994","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","0","99.19418699999994","0","10","0","0","0"
"1002","SCCM1","01-JUN-25","SNOP_BATCH_STORE_RES_PROJ","43200","604.399632","0","0","0","0","0","0","0","0","720","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","16.055606666666666","0","0","115.600368","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","720","0","115.600368","0","30","0","0","0"
"1002","SCCM2","22-FEB-25","SNOP_BATCH_STORE_RES_PROJ","10080","22.76466700000023","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","_jsw_prd_scpo_bat@jdadelivers.com","22-FEB-25","86.44960297619035","0","0","145.23533299999977","0","0","0","0","0","MONTHLY_MAX_PROFIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","145.23533299999977","0","7","0","0","0"
